,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume
symbol,ADM,AGCO,ALCO,ANDE,BG,BGS,BRFS,CAG,CALM,CF,CVGW,DAR,DE,FDP,FLO,HAIN,HRL,INGR,JBSAY,JJSF,JVA,KHC,LANC,LNN,MDLZ,MKC,MOS,PFGC,POST,PPC,SEB,SENEA,SMG,STKL,SYY,THS,TSCO,TSN,UL,UNFI,WW,ADM,AGCO,ALCO,ANDE,BG,BGS,BRFS,CAG,CALM,CF,CVGW,DAR,DE,FDP,FLO,HAIN,HRL,INGR,JBSAY,JJSF,JVA,KHC,LANC,LNN,MDLZ,MKC,MOS,PFGC,POST,PPC,SEB,SENEA,SMG,STKL,SYY,THS,TSCO,TSN,UL,UNFI,WW
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-27,21.0,18.81,50.5,34.68,63.07,,44.75,23.2,5.82,,10.39,3.71,65.36,26.28,34.84,19.05,29.56,23.38,,51.4,8.3,,43.14,23.7,31.49,33.39,15.0,,,34.87,1525.0,15.76,69.42,5.7,35.75,,47.96,17.44,38.98,29.78,53.0,1315200.0,843800.0,8700.0,19800.0,630200.0,,11000.0,1508600.0,158800.0,,1100.0,54700.0,1292900.0,139200.0,162390.0,87600.0,194600.0,228000.0,,15800.0,107500.0,,89400.0,152100.0,1010100.0,307600.0,1027000.0,,,331000.0,1200.0,600.0,131300.0,378900.0,1543600.0,,291200.0,2464600.0,621700.0,213400.0,387600.0
2005-06-28,21.29,19.26,50.81,35.0,63.26,,45.23,23.44,5.93,,10.37,3.86,66.3,26.72,35.32,19.67,29.83,24.15,,52.11,8.4,,43.4,24.8,31.92,33.9,15.4,,,34.67,1540.0,15.76,70.3,5.72,36.26,29.65,48.76,17.62,39.1,30.14,52.19,1712900.0,720400.0,7000.0,37200.0,426900.0,,1100.0,1503400.0,131500.0,,7200.0,90000.0,1324600.0,90000.0,145244.0,232100.0,218400.0,305400.0,,18200.0,132300.0,,98200.0,100100.0,1013500.0,584600.0,696200.0,,,402700.0,4400.0,0.0,96300.0,186200.0,1313800.0,2636100.0,374600.0,1000000.0,522900.0,182600.0,582100.0
2005-06-29,20.9,19.51,50.53,36.0,63.85,,45.95,23.1,5.95,,10.06,3.85,66.45,26.74,35.33,19.34,29.78,23.85,,51.54,8.0,,43.47,24.89,31.71,33.3,15.55,,,34.15,1625.0,15.76,71.1,5.67,35.85,28.35,48.77,17.59,38.85,30.16,52.0,1623900.0,466500.0,12300.0,72700.0,458400.0,,6000.0,2269000.0,146100.0,,7100.0,42500.0,1046500.0,70700.0,184375.0,223100.0,171600.0,361100.0,,11100.0,156100.0,,51600.0,94600.0,914300.0,551900.0,848200.0,,,429700.0,7800.0,0.0,112000.0,200200.0,1098600.0,2241600.0,240800.0,1716700.0,385000.0,187000.0,507000.0
2005-06-30,21.38,19.12,51.43,35.81,63.4,,47.1,23.16,6.05,,10.5,3.75,65.49,26.92,35.36,19.5,29.33,23.76,,52.35,7.9,,42.94,23.58,31.81,32.68,15.56,,,34.13,1664.0,16.2,71.21,5.68,36.19,28.51,49.1,17.8,38.85,30.37,51.61,1830200.0,880000.0,42600.0,28200.0,361900.0,,11400.0,2953100.0,102400.0,,1300.0,319700.0,1377300.0,92500.0,168020.0,120000.0,358700.0,464000.0,,12200.0,84000.0,,82200.0,107200.0,830100.0,2063800.0,476300.0,,,257700.0,4600.0,10800.0,134200.0,228400.0,2058700.0,1658600.0,388100.0,1166000.0,508500.0,249900.0,449100.0
2005-07-01,21.48,19.92,51.97,36.6,63.74,,48.25,23.17,5.99,,10.22,3.74,66.1,26.95,35.68,19.76,29.81,23.99,,51.755,8.3,,43.29,23.45,31.96,32.75,15.82,,,34.35,1645.0,16.25,71.95,5.9,36.25,28.9,49.05,17.8,38.86,30.5,51.03,1450700.0,1130800.0,10900.0,34300.0,453600.0,,10300.0,1759700.0,73400.0,,4400.0,337200.0,1475200.0,81800.0,100267.0,149900.0,198200.0,251000.0,,4400.0,165000.0,,104600.0,79200.0,788200.0,710000.0,752100.0,,,258600.0,2100.0,400.0,160300.0,199800.0,1316500.0,1256400.0,129500.0,1067500.0,251100.0,165100.0,409400.0
2005-07-05,21.23,19.99,51.65,34.7,64.93,,45.9,23.12,5.97,,10.18,3.8,67.25,26.62,24.21,19.95,30.01,24.05,,53.62,9.25,,44.16,24.09,31.81,32.62,15.99,,,34.13,1704.5,16.25,73.01,6.02,36.88,29.97,49.55,17.72,38.7,30.59,51.15,2569900.0,1222600.0,8300.0,73200.0,500600.0,,14000.0,1220400.0,62800.0,,6100.0,141900.0,2493900.0,216300.0,157867.0,221700.0,174700.0,338600.0,,10800.0,312300.0,,103100.0,86800.0,945200.0,604000.0,1347700.0,,,355400.0,3200.0,0.0,128100.0,606800.0,1865900.0,1131800.0,349200.0,772000.0,577800.0,268300.0,754600.0
2005-07-06,20.96,19.96,51.22,34.52,64.62,,44.5,22.71,5.86,,10.22,3.76,67.6,26.69,24.08,20.06,29.35,24.74,,53.58,9.08,,43.5,24.49,31.74,31.87,16.02,,,34.61,1720.0,16.25,72.57,6.17,36.38,29.5,49.25,17.85,38.54,29.88,51.2,2584900.0,892300.0,6400.0,38200.0,518200.0,,5000.0,1898900.0,59000.0,,3300.0,84300.0,2065000.0,106600.0,313452.0,323300.0,380500.0,523400.0,,22300.0,461800.0,,103400.0,114700.0,601300.0,606700.0,543900.0,,,351500.0,4600.0,0.0,166600.0,967700.0,1698700.0,1186500.0,369700.0,782500.0,377600.0,208200.0,441100.0
2005-07-07,20.87,20.16,51.54,36.65,65.33,,44.99,22.68,5.85,,10.07,3.8,67.56,26.28,24.06,20.01,29.34,24.27,,54.17,9.64,,43.916,24.44,31.29,31.66,16.12,,,35.4,1745.01,15.75,72.38,6.23,36.19,29.38,48.77,18.02,38.17,30.18,51.39,4695800.0,967800.0,1700.0,78400.0,218700.0,,2200.0,1959100.0,53800.0,,2300.0,35900.0,1354900.0,137500.0,192978.0,203700.0,268700.0,239300.0,,15200.0,233500.0,,88500.0,34900.0,1293900.0,1042800.0,511500.0,,,261000.0,3200.0,5000.0,181300.0,457100.0,1360000.0,781800.0,274500.0,805900.0,673200.0,301600.0,225000.0
2005-07-08,20.89,20.63,52.03,37.58,65.12,,46.45,22.99,5.93,,10.31,3.8,68.76,26.48,24.56,20.43,29.7,24.7,,56.04,9.25,,44.58,25.21,31.47,32.43,16.29,,,35.97,1784.0,15.75,73.73,6.3,36.51,29.55,49.57,18.26,38.66,30.72,52.54,1472600.0,788200.0,5900.0,77400.0,290800.0,,26000.0,1653800.0,100700.0,,2200.0,126900.0,1204700.0,138700.0,193867.0,169300.0,138000.0,357700.0,,9700.0,450400.0,,65000.0,55000.0,864500.0,759500.0,676000.0,,,236100.0,7000.0,0.0,82300.0,317900.0,2248700.0,887100.0,322700.0,1035900.0,541900.0,242500.0,343700.0
2005-07-11,20.92,20.87,52.75,39.15,64.56,,48.15,23.03,6.08,,10.28,3.8,69.52,27.26,24.67,20.45,29.77,24.7,,55.61,9.2,,44.46,25.57,31.44,32.41,16.48,,,38.15,1750.0,16.05,74.67,6.45,36.66,29.32,49.95,18.18,39.08,31.68,53.24,2033100.0,1221200.0,11400.0,79500.0,569700.0,,11100.0,2011700.0,135300.0,,400.0,416300.0,2420900.0,209200.0,237067.0,269300.0,151300.0,361100.0,,24100.0,116700.0,,82400.0,57800.0,1119000.0,861300.0,379300.0,,,2241400.0,6200.0,2000.0,93900.0,643300.0,1793700.0,378200.0,308700.0,1028300.0,344700.0,322200.0,322700.0
2005-07-12,20.9,21.02,53.07,38.9,65.2,,48.27,23.06,5.98,,10.11,3.81,69.68,26.99,24.87,20.4,29.74,24.63,,55.57,9.35,,44.44,25.25,31.5,32.38,16.46,,,39.15,1755.0,16.05,74.45,6.6,36.76,30.12,49.79,18.2,39.45,31.64,53.11,2461800.0,921700.0,18000.0,34700.0,373500.0,,6000.0,1320000.0,101800.0,,1800.0,47200.0,1351500.0,104500.0,166163.0,395600.0,139400.0,247000.0,,41000.0,130400.0,,124000.0,50100.0,1238000.0,747600.0,561900.0,,,660500.0,2000.0,500.0,138700.0,543600.0,1830100.0,324400.0,390100.0,968400.0,361800.0,251400.0,288100.0
2005-07-13,21.1,20.64,53.71,39.92,65.01,,48.19,23.19,6.01,,10.25,3.72,69.03,27.12,24.9,20.36,29.41,24.28,,54.75,9.2,,44.76,25.0,31.52,32.8,16.36,,,38.51,1655.0,16.06,73.09,6.25,36.55,30.03,49.3,18.32,38.94,31.48,53.39,1813100.0,1102000.0,8200.0,92300.0,298100.0,,8200.0,993500.0,65800.0,,9200.0,34100.0,1318700.0,54700.0,253067.0,138600.0,193900.0,284300.0,,10900.0,69300.0,,76400.0,56500.0,538100.0,646800.0,460100.0,,,337200.0,3700.0,400.0,204700.0,614800.0,1374400.0,400900.0,227100.0,495700.0,392900.0,182100.0,203600.0
2005-07-14,21.34,20.07,54.34,38.65,64.91,,49.36,23.33,6.24,,10.1,3.73,69.41,27.08,24.87,20.29,30.0,24.46,,52.96,8.85,,44.03,24.85,31.64,33.21,16.46,,,37.86,1635.0,16.06,74.55,6.44,36.65,29.83,49.31,18.52,39.03,31.71,52.89,1999900.0,1165100.0,17400.0,17100.0,725200.0,,23400.0,1457800.0,623800.0,,1900.0,25900.0,2086900.0,86800.0,161363.0,144900.0,383600.0,311000.0,,38900.0,244500.0,,63100.0,45400.0,909800.0,649000.0,431200.0,,,352300.0,4000.0,0.0,151300.0,572100.0,1042600.0,363300.0,248400.0,928700.0,584600.0,242300.0,333500.0
2005-07-15,21.74,20.28,54.24,40.0,65.05,,48.74,23.3,6.16,,10.1,3.84,69.75,27.01,24.69,19.97,30.25,24.53,,53.84,8.5,,44.05,24.98,31.9,33.52,16.4,,,37.69,1685.0,16.25,73.68,6.33,36.82,29.9,49.16,19.47,39.16,31.37,53.6,2323900.0,652000.0,6100.0,16600.0,454900.0,,9100.0,1677500.0,134300.0,,0.0,353000.0,1219300.0,44300.0,156000.0,158900.0,214700.0,353800.0,,19600.0,111100.0,,52900.0,46300.0,627200.0,720500.0,798200.0,,,314900.0,2100.0,400.0,68000.0,432400.0,1078100.0,711300.0,268700.0,4249700.0,486700.0,228800.0,175500.0
2005-07-18,21.45,20.25,54.2,40.03,65.48,,46.84,23.33,6.12,,10.03,3.7,69.92,26.89,24.64,19.7,30.18,24.06,,54.06,7.71,,43.51,24.66,31.9,34.01,16.75,,,37.11,1725.0,15.94,73.44,6.31,36.73,29.65,48.67,19.03,39.33,31.29,53.65,2253100.0,425100.0,11000.0,20300.0,783800.0,,5800.0,1522700.0,83700.0,,100.0,78500.0,1175500.0,54400.0,172830.0,193200.0,249700.0,410000.0,,26300.0,349200.0,,110700.0,67400.0,588500.0,1241900.0,814200.0,,,362500.0,2200.0,2100.0,48000.0,362900.0,1003100.0,425900.0,238400.0,1902100.0,487200.0,303700.0,185300.0
2005-07-19,21.74,20.9,53.48,39.7732,67.25,,46.5,23.49,6.38,,10.15,3.82,71.49,27.0,25.03,19.57,30.39,24.36,,53.76,8.12,,43.93,24.97,31.76,33.87,17.0,,,36.74,1724.0,15.94,74.1,6.25,37.2,29.95,50.4,18.9,39.73,31.64,53.77,2027900.0,752700.0,6200.0,7900.0,945100.0,,100.0,1719300.0,139000.0,,3400.0,104000.0,2716300.0,105400.0,173630.0,223700.0,198500.0,722100.0,,18000.0,222300.0,,70000.0,58500.0,1059300.0,869600.0,805900.0,,,416800.0,6000.0,0.0,71600.0,263300.0,1797500.0,708600.0,295000.0,2327000.0,570600.0,270700.0,153100.0
2005-07-20,21.9,21.3,53.3,40.08,67.31,,47.65,23.23,6.3,,10.199,3.95,71.64,26.98,25.17,19.81,30.16,24.47,,54.15,8.69,,44.51,25.08,30.65,34.25,16.97,,,36.91,1695.0,15.91,74.97,6.14,36.93,30.48,50.62,19.06,39.75,31.68,53.69,2613800.0,1097200.0,4200.0,28600.0,513300.0,,1400.0,1618500.0,84100.0,,200.0,69200.0,2177100.0,79500.0,90785.0,184300.0,164800.0,397300.0,,21500.0,212300.0,,40400.0,115600.0,3095200.0,652200.0,456800.0,,,343800.0,2500.0,1100.0,68900.0,270500.0,1317200.0,473300.0,197600.0,1240000.0,410500.0,228600.0,148200.0
